concept,feature,________-number of participants mentioning this feature,________-number of participants rating this feature,_30_____________-normalized numer of participants mentioning this feature,COUNTIF feature,COUNTIF item
Koala,need-to sleep,14,30,14,73,18
The Dachshund,need-to sleep,9,29,9.310344828,73,19
wolf,need-to sleep,7,29,7.24137931,73,22
tiger,need-to sleep,7,31,6.774193548,73,23
mouse,need-to sleep,7,30,7,73,25
Cheetah,need-to sleep,7,30,7,73,25
hound,need-to sleep,10,30,10,73,21
Totoro,need-to sleep,10,29,10.34482759,73,16
mule,need-to sleep,6,30,6,73,16
Python,need-to sleep,8,47,5.106382979,73,30
Yak,need-to sleep,6,30,6,73,18
Elk,need-to sleep,7,30,7,73,19
The sperm whale,need-to sleep,6,30,6,73,19
Hen,need-to sleep,7,30,7,73,18
Ewes,need-to sleep,8,30,8,73,21
cattle,need-to sleep,6,31,5.806451613,73,31
lion,need-to sleep,11,30,11,73,23
rat,need-to sleep,9,30,9,73,21
Chow Chow,need-to sleep,6,30,6,73,16
Swan,need-to sleep,6,31,5.806451613,73,18
Vulture,need-to sleep,10,28,10.71428571,73,16
rabbit,need-to sleep,6,30,6,73,35
Rabbit,need-to sleep,6,30,6,73,35
lizard,need-to sleep,10,50,6,73,30
chimpanzee,need-to sleep,9,30,9,73,18
duck,need-to sleep,9,29,9.310344828,73,17
mole,need-to sleep,8,30,8,73,16
swallow,need-to sleep,7,31,6.774193548,73,17
Alpaca,need-to sleep,8,30,8,73,21
pheasant,need-to sleep,6,29,6.206896552,73,16
hare,need-to sleep,9,30,9,73,21
Bungarus multicinctus,need-to sleep,6,29,6.206896552,73,18
grasshopper,need-to sleep,6,30,6,73,17
glass,can-drink,12,30,12,69,19
Soybean Milk,can-drink,21,29,21.72413793,69,16
lemon,can-drink,6,30,6,69,16
Coconut,can-drink,14,30,14,69,18
Daisy,is-fragrant,10,29,10.34482759,66,16
soybean,is-Round,9,30,9,66,26
pot,is-Round,7,30,7,66,16
Lotus,is-fragrant,7,30,7,66,37
tyre,is-Round,35,54,19.44444444,66,17
babysbreath,is-fragrant,7,29,7.24137931,66,16
Loquat,is-Round,8,30,8,66,19
Hawthorn,is-Round,6,31,5.806451613,66,17
Honey peach,is-fragrant,7,30,7,66,28
watermelon,is-Round,11,31,10.64516129,66,36
Tomatoes,is-Round,6,31,5.806451613,66,22
coriander,is-fragrant,9,30,9,66,17
sausage,is-fragrant,8,31,7.741935484,66,18
onion,is-Round,10,30,10,66,17
Coconut,is-Round,8,30,8,66,18
Cherry,is-Round,7,30,7,66,17
grapefruit,is-Round,6,30,6,66,17
tulips,is-fragrant,12,31,11.61290323,66,17
glass,has-handle,9,30,9,58,19
Knife,has-handle,20,30,20,58,25
knife,has-handle,16,31,15.48387097,58,25
pot,has-handle,11,30,11,58,16
Tyrannosaurus Rex,has-limbs,11,28,11.78571429,57,16
zebra,has-limbs,10,28,10.71428571,57,25
leopard,has-limbs,15,30,15,57,40
Persian cat,has-limbs,8,29,8.275862069,57,18
soybean,has-Nutrition,6,30,6,57,26
Timber wolf,has-limbs,8,30,8,57,24
Soybean Milk,has-Nutrition,12,29,12.4137931,57,16
African elephant,has-limbs,16,31,15.48387097,57,19
Cabbage,has-Nutrition,8,30,8,57,29
Dog,has-limbs,10,29,10.34482759,57,22
Siberian Husky,has-limbs,11,31,10.64516129,57,19
panther,has-limbs,7,29,7.24137931,57,20
Monkey,has-limbs,10,29,10.34482759,57,29
fox,has-limbs,7,30,7,57,17
Cauliflower,has-Nutrition,7,30,7,57,17
Raccoons,has-limbs,14,30,14,57,20
cattle,has-limbs,9,30,9,57,31
Rat,has-limbs,7,30,7,57,21
leopard,has-limbs,12,30,12,57,40
Koala,has-limbs,13,30,13,57,18
Dinosaur,has-limbs,8,30,8,57,17
The Dachshund,has-limbs,9,29,9.310344828,57,19
wolf,has-limbs,12,29,12.4137931,57,22
tiger,has-limbs,16,31,15.48387097,57,23
mouse,has-limbs,9,30,9,57,25
Cheetah,has-limbs,12,30,12,57,25
hound,has-limbs,10,30,10,57,21
mule,has-limbs,14,30,14,57,16
Yak,has-limbs,11,30,11,57,18
kiwifruit,has-Nutrition,6,30,6,57,17
Elk,has-limbs,12,30,12,57,19
Ewes,has-limbs,11,30,11,57,21
cattle,has-limbs,12,31,11.61290323,57,31
lion,has-limbs,10,30,10,57,23
Chow Chow,has-limbs,7,30,7,57,16
Broccoli,has-Nutrition,12,30,12,57,16
lizard,has-limbs,20,50,12,57,30
cricket,has-limbs,9,59,4.576271186,57,24
A variety of Chinese cabbage,has-Nutrition,7,30,7,57,17
chimpanzee,has-limbs,13,30,13,57,18
panda,has-limbs,6,29,6.206896552,57,23
Alpaca,has-limbs,8,30,8,57,21
hare,has-limbs,6,30,6,57,21
Lettuce,has-Nutrition,7,30,7,57,33
Daisy,is-yellow,8,29,8.275862069,56,16
soybean,is-yellow,13,30,13,56,26
millet,is-yellow,11,30,11,56,17
cattle,is-yellow,10,30,10,56,31
Honeysuckle,is-yellow,8,30,8,56,20
Orange,is-yellow,10,30,10,56,16
Chrysanthemum,is-yellow,10,31,9.677419355,56,19
Sunflower,is-yellow,11,29,11.37931034,56,30
Durian,is-yellow,6,30,6,56,16
lemon,is-yellow,19,30,19,56,16
Loquat,is-yellow,14,30,14,56,19
Sunflower,is-yellow,8,31,7.741935484,56,30
millet,is-yellow,6,29,6.206896552,56,17
grapefruit,is-yellow,8,30,8,56,17
moth,can-fly,21,29,21.72413793,55,19
dove,can-fly,27,30,27,55,16
Seagull,can-fly,26,30,26,55,16
black swan,can-fly,10,30,10,55,17
Leech,can-fly,7,29,7.24137931,55,27
Squab,can-fly,8,30,8,55,16
Swan,can-fly,15,31,14.51612903,55,18
Vulture,can-fly,20,28,21.42857143,55,16
swallow,can-fly,26,31,25.16129032,55,17
pheasant,can-fly,13,29,13.44827586,55,16
grasshopper,can-fly,10,30,10,55,17
Robins,can-fly,19,29,19.65517241,55,17
Scallion,is-long,6,30,6,54,17
Jujube,need-harvest,7,30,7,54,27
Carp,is-long,7,29,7.24137931,54,32
Watermelon,need-harvest,7,31,6.774193548,54,36
citrus,need-harvest,6,29,6.206896552,54,17
Hami melon,need-harvest,6,30,6,54,17
Sea snake,is-long,8,30,8,54,18
Cucurbit,need-harvest,8,30,8,54,21
cucumber,is-long,11,30,11,54,21
cucumber,need-harvest,7,30,7,54,21
Honeysuckle,need-harvest,7,30,7,54,20
Orange,need-harvest,6,30,6,54,16
Chrysanthemum,need-harvest,6,31,5.806451613,54,19
Sausage,is-long,6,30,6,54,18
Python,is-long,12,47,7.659574468,54,30
kiwifruit,need-harvest,6,30,6,54,17
Belt,is-long,7,30,7,54,22
Loquat,need-harvest,8,30,8,54,19
Grape,need-harvest,9,31,8.709677419,54,20
Mulberry,need-harvest,8,30,8,54,17
Hawthorn,need-harvest,15,31,14.51612903,54,17
snake,is-long,9,31,8.709677419,54,19
Peach,need-harvest,7,30,7,54,17
watermelon,need-harvest,7,31,6.774193548,54,36
Tomatoes,need-harvest,9,31,8.709677419,54,22
belt,is-long,10,30,10,54,22
Coconut,need-harvest,6,30,6,54,18
Bungarus multicinctus,is-long,6,29,6.206896552,54,18
Lettuce,is-long,6,30,6,54,33
Jujube,need-harvest,10,30,10,54,27
trousers,is-long,6,30,6,54,18
Jujube,is-Fruit,9,30,9,52,27
goose,has-Wings,14,30,14,52,17
moth,has-Wings,25,29,25.86206897,52,19
moth,is-Insects,22,29,22.75862069,52,19
moth,is-Insects,14,29,14.48275862,52,19
tomato,is-Fruit,6,30,6,52,17
citrus,is-Fruit,23,29,23.79310345,52,17
dove,has-Wings,20,30,20,52,16
Cock,has-Wings,8,30,8,52,20
Hami melon,is-Fruit,24,30,24,52,17
Seagull,has-Wings,25,30,25,52,16
black swan,has-Wings,14,30,14,52,17
Orange,is-Fruit,22,30,22,52,16
Blueberry,is-Fruit,22,30,22,52,16
litchi,is-Fruit,30,31,29.03225806,52,17
Durian,is-Fruit,26,30,26,52,16
Leech,is-Insects,13,29,13.44827586,52,27
Leech,has-Wings,9,29,9.310344828,52,27
Leech,is-Insects,8,29,8.275862069,52,27
kiwifruit,is-Fruit,26,30,26,52,17
honey peach,is-Fruit,28,30,28,52,28
Hen,has-Wings,18,30,18,52,18
lemon,is-Fruit,17,30,17,52,16
Loquat,is-Fruit,21,30,21,52,19
Grape,is-Fruit,31,31,30,52,20
penguin,has-Wings,13,31,12.58064516,52,17
Squab,has-Wings,22,30,22,52,16
Mulberry,is-Fruit,15,30,15,52,17
Hawthorn,is-Fruit,17,31,16.4516129,52,17
Honey peach,is-Fruit,27,30,27,52,28
Leech,is-Insects,6,28,6.428571429,52,27
Peach,is-Fruit,29,30,29,52,17
Swan,has-Wings,16,31,15.48387097,52,18
Vulture,has-Wings,20,28,21.42857143,52,16
ostrich,has-Wings,12,30,12,52,16
watermelon,is-Fruit,27,31,26.12903226,52,36
Tomatoes,is-Fruit,7,31,6.774193548,52,22
cricket,is-Insects,42,59,21.3559322,52,24
cricket,is-Insects,34,59,17.28813559,52,24
cricket,has-Wings,10,59,5.084745763,52,24
duck,has-Wings,7,29,7.24137931,52,17
swallow,has-Wings,25,31,24.19354839,52,17
Coconut,is-Fruit,20,30,20,52,18
pheasant,has-Wings,16,29,16.55172414,52,16
Cherry,is-Fruit,25,30,25,52,17
grapefruit,is-Fruit,23,30,23,52,17
Jujube,is-Fruit,12,30,12,52,27
grasshopper,is-Insects,26,30,26,52,17
grasshopper,is-Insects,18,30,18,52,17
grasshopper,has-Wings,14,30,14,52,17
Robins,has-Wings,17,29,17.5862069,52,17
spider,is-Insects,16,30,16,52,17
spider,is-Insects,13,30,13,52,17
moth,is-Insects,18,28,19.28571429,52,19
Jujube,is-red,22,30,22,51,27
tomato,is-red,23,30,23,51,17
Sausage,is-red,6,30,6,51,18
litchi,is-red,8,31,7.741935484,51,17
Bacon,is-red,7,31,6.774193548,51,18
Hawthorn,is-red,22,31,21.29032258,51,17
Tomatoes,is-red,23,31,22.25806452,51,22
Cherry,is-red,23,30,23,51,17
grapefruit,is-red,7,30,7,51,17
Jujube,is-red,14,30,14,51,27
Scallion,can-stir-fry,6,30,6,50,17
garlic,can-stir-fry,6,30,6,50,16
Watermelon,can-Stir-fry,12,31,11.61290323,50,36
tomato,can-Stir-fry,10,30,10,50,17
Cabbage,can-Stir-fry,10,30,10,50,29
pot,can-stir-fry,15,30,15,50,16
Cucurbit,can-Stir-fry,9,30,9,50,21
Cauliflower,can-Stir-fry,15,30,15,50,17
cucumber,can-Stir-fry,10,30,10,50,21
egg,can-Stir-fry,7,31,6.774193548,50,17
Sausage,can-Stir-fry,8,30,8,50,18
Bacon,can-Stir-fry,6,30,6,50,18
Lettuce,can-Stir-fry,8,31,7.741935484,50,33
Tomatoes,can-Stir-fry,10,31,9.677419355,50,22
Broccoli,can-Stir-fry,10,30,10,50,16
sausage,can-Stir-fry,9,31,8.709677419,50,18
A variety of Chinese cabbage,can-Stir-fry,8,30,8,50,17
onion,can-Stir-fry,12,30,12,50,17
Lettuce,can-Stir-fry,13,30,13,50,33
Tyrannosaurus Rex,is-Meat,13,28,13.92857143,49,16
zebra,is-Black,15,28,16.07142857,49,25
leopard,is-Meat,8,30,8,49,40
Timber wolf,is-Meat,7,30,7,49,24
panther,is-Black,14,29,14.48275862,49,20
black swan,is-Black,18,30,18,49,17
fox,is-Meat,9,30,9,49,17
leopard,is-Meat,13,30,13,49,40
Dinosaur,is-Meat,8,30,8,49,17
Sausage,is-meat,19,30,19,49,18
Bacon,is-meat,20,30,20,49,18
wolf,is-Meat,9,29,9.310344828,49,22
tiger,is-Meat,12,31,11.61290323,49,23
hound,is-Meat,7,30,7,49,21
tyre,is-Black,11,54,6.111111111,49,17
Python,is-Meat,8,47,5.106382979,49,30
Bacon,is-meat,22,31,21.29032258,49,18
penguin,is-Black,8,31,7.741935484,49,17
Mulberry,is-Black,8,30,8,49,17
lion,is-Meat,16,30,16,49,23
Chow Chow,is-Meat,6,30,6,49,16
Swan,is-Black,6,31,5.806451613,49,18
Vulture,is-Meat,7,28,7.5,49,16
sausage,is-meat,28,31,27.09677419,49,18
chimpanzee,is-Black,7,30,7,49,18
panda,is-Black,12,29,12.4137931,49,23
swallow,is-Black,11,31,10.64516129,49,17
Soybean Milk,has-Water,10,29,10.34482759,48,16
Carp,can-swim,9,29,9.310344828,47,32
Turbot,can-swim,7,30,7,47,16
goose,can-swim,7,30,7,47,17
Sea snake,can-swim,15,30,15,47,18
Otarriinae,can-swim,19,30,19,47,16
Jellyfish,can-swim,8,31,7.741935484,47,29
black swan,can-swim,15,30,15,47,17
Crucian carp,can-swim,8,30,8,47,17
whale,can-swim,18,33,16.36363636,47,18
Guppy,can-swim,13,28,13.92857143,47,17
carp,can-swim,8,30,8,47,32
The sperm whale,can-swim,17,30,17,47,19
penguin,can-swim,14,31,13.5483871,47,17
Jellyfish,can-swim,16,30,16,47,29
Swan,can-swim,11,31,10.64516129,47,18
duck,can-swim,14,29,14.48275862,47,17
fish,can-swim,13,30,13,47,16
Seaweed,is-delicious,6,29,6.206896552,46,29
Durian,is-delicious,6,30,6,46,16
Scallion,is-Vegetables,8,30,8,45,17
Watermelon,is-Vegetables,21,31,20.32258065,45,36
tomato,is-Vegetables,17,30,17,45,17
Cabbage,is-Vegetables,22,30,22,45,29
Cucurbit,is-Vegetables,15,30,15,45,21
Cauliflower,is-Vegetables,24,30,24,45,17
cucumber,is-Vegetables,23,30,23,45,21
Cabbage,is-Vegetables,26,30,26,45,29
Lettuce,is-Vegetables,16,31,15.48387097,45,33
Tomatoes,is-Vegetables,25,31,24.19354839,45,22
Broccoli,is-Vegetables,25,30,25,45,16
coriander,is-Vegetables,17,30,17,45,17
A variety of Chinese cabbage,is-Vegetables,22,30,22,45,17
onion,is-Vegetables,21,30,21,45,17
Lettuce,is-Vegetables,22,30,22,45,33
Dionaea muscipula,has-Stem,12,30,12,44,16
Daisy,is-Flower,23,29,23.79310345,44,16
Daisy,has-Stem,6,29,6.206896552,44,16
Scallion,has-Stem,10,30,10,44,17
Cabbage,has-Stem,8,30,8,44,29
shrub,has-Stem,7,30,7,44,17
Lotus,is-Flower,20,30,20,44,37
Lotus,has-Stem,7,30,7,44,37
Cauliflower,has-Stem,8,30,8,44,17
Honeysuckle,is-Flower,15,30,15,44,20
Honeysuckle,has-Stem,6,30,6,44,20
Chrysanthemum,is-Flower,24,31,23.22580645,44,19
Chrysanthemum,has-Stem,7,31,6.774193548,44,19
Sunflower,is-Flower,12,29,12.4137931,44,30
Lotus,is-Flower,28,30,28,44,37
Lotus,has-Stem,7,30,7,44,37
babysbreath,is-Flower,19,29,19.65517241,44,16
babysbreath,has-Stem,7,29,7.24137931,44,16
Lettuce,has-Stem,12,31,11.61290323,44,33
Broccoli,has-Stem,6,30,6,44,16
coriander,has-Stem,7,30,7,44,17
Sunflower,is-Flower,22,31,21.29032258,44,30
Sunflower,has-Stem,12,31,11.61290323,44,30
Lettuce,has-Stem,13,30,13,44,33
tulips,is-Flower,31,31,30,44,17
tulips,has-Stem,6,31,5.806451613,44,17
tomato,has-Pulp,7,30,7,43,17
citrus,has-Pulp,9,29,9.310344828,43,17
Hami melon,has-Pulp,10,30,10,43,17
Orange,has-Pulp,12,30,12,43,16
Blueberry,has-Pulp,6,30,6,43,16
litchi,has-Pulp,14,31,13.5483871,43,17
Durian,has-Pulp,11,30,11,43,16
kiwifruit,has-Pulp,16,30,16,43,17
honey peach,has-Pulp,9,30,9,43,28
lemon,has-Pulp,12,30,12,43,16
Loquat,has-Pulp,15,30,15,43,19
Grape,has-Pulp,11,31,10.64516129,43,20
Hawthorn,has-Pulp,11,31,10.64516129,43,17
Honey peach,has-Pulp,15,30,15,43,28
Peach,has-Pulp,16,30,16,43,17
watermelon,has-Pulp,9,31,8.709677419,43,36
Tomatoes,has-Pulp,6,31,5.806451613,43,22
Coconut,has-Pulp,8,30,8,43,18
Cherry,has-Pulp,11,30,11,43,17
grapefruit,has-Pulp,14,30,14,43,17
Jujube,has-Pulp,9,30,9,43,27
millet,has-shell,8,30,8,42,17
egg,has-shell,12,31,11.61290323,42,17
trousers,can-Keep warm,11,30,11,42,18
litchi,has-shell,16,31,15.48387097,42,17
Durian,has-shell,7,30,7,42,16
Snail,has-shell,25,30,25,42,20
Oysters,has-shell,28,31,27.09677419,42,24
leather jacket,can-Keep warm,10,30,10,42,16
Oysters,has-shell,24,30,24,42,24
snail,has-shell,26,30,26,42,20
Coconut,has-shell,16,30,16,42,18
trousers,can-Keep warm,16,30,16,42,18
Siberian Husky,can-Entertain,7,31,6.774193548,41,19
Bus,is-Big,7,29,7.24137931,40,28
Tyrannosaurus Rex,is-Big,12,28,12.85714286,40,16
Tyrannosaurus Rex,can-Hunt,7,28,7.5,40,16
silver birch,is-Big,9,30,9,40,19
leopard,can-Hunt,21,30,21,40,40
Dionaea muscipula,can-Hunt,17,30,17,40,16
Timber wolf,can-Hunt,9,30,9,40,24
Carp,is-Haili,10,29,10.34482759,40,32
Viper,can-Hunt,6,30,6,40,27
Turbot,is-Haili,7,30,7,40,16
Touring car,has-Wheel,12,30,12,40,18
Touring car,is-Big,7,30,7,40,18
African elephant,is-Big,12,31,11.61290323,40,19
Viper,can-Hunt,8,29,8.275862069,40,27
Bus,has-Wheel,13,30,13,40,28
seaweed,is-Haili,9,30,9,40,29
Seagull,can-Hunt,10,30,10,40,16
Sea snake,is-Haili,10,30,10,40,18
Otarriinae,can-Hunt,8,30,8,40,16
Otarriinae,is-Haili,8,30,8,40,16
Seaweed,is-Haili,8,29,8.275862069,40,29
Jellyfish,is-Haili,17,31,16.4516129,40,29
panther,can-Hunt,17,29,17.5862069,40,20
fox,can-Hunt,7,30,7,40,17
leopard,can-Hunt,16,30,16,40,40
whale,is-Haili,13,33,11.81818182,40,18
whale,is-Big,12,33,10.90909091,40,18
whale,can-Hunt,8,33,7.272727273,40,18
Dinosaur,is-Big,11,30,11,40,17
Dinosaur,can-Hunt,7,30,7,40,17
wolf,can-Hunt,15,29,15.51724138,40,22
tiger,can-Hunt,17,31,16.4516129,40,23
Cheetah,can-Hunt,24,30,24,40,25
hound,can-Hunt,20,30,20,40,21
Snail,is-Haili,6,30,6,40,20
carriage,has-Wheel,20,30,20,40,17
Python,can-Hunt,9,47,5.744680851,40,30
Python,is-Big,6,47,3.829787234,40,30
The sperm whale,is-Big,7,30,7,40,19
The sperm whale,is-Haili,7,30,7,40,19
Oysters,is-Haili,21,31,20.32258065,40,24
penguin,can-Hunt,7,31,6.774193548,40,17
Oysters,is-Haili,24,30,24,40,24
lion,can-Hunt,15,30,15,40,23
mouse,has-wheel,6,30,6,40,25
Jellyfish,is-Haili,12,30,12,40,29
Metasequoia,is-Big,6,30,6,40,19
Carriage,has-Wheel,24,30,24,40,17
Vulture,can-Hunt,8,28,8.571428571,40,16
ostrich,is-Big,11,30,11,40,16
lizard,can-Hunt,9,50,5.4,40,30
mole,can-Hunt,6,30,6,40,16
Bungarus multicinctus,can-Hunt,7,29,7.24137931,40,18
spider,can-Hunt,7,30,7,40,17
Bus,other-Transportation,16,29,16.55172414,39,28
Touring car,other-Transportation,7,30,7,39,18
Bus,other-Transportation,17,30,17,39,28
Cushion,is-Soft,11,31,10.64516129,39,17
carriage,other-Transportation,19,30,19,39,17
Oysters,is-Soft,9,31,8.709677419,39,24
Jellyfish,is-Soft,7,30,7,39,29
Leech,is-Soft,8,28,8.571428571,39,27
Carriage,other-Transportation,13,30,13,39,17
snail,is-Soft,11,30,11,39,20
Cushion,is-Soft,13,28,13.92857143,39,17
Tyrannosaurus Rex,has-teeth,17,28,18.21428571,37,16
leopard,has-teeth,15,30,15,37,40
Glass,is-hard,7,30,7,37,19
Timber wolf,has-teeth,14,30,14,37,24
Soybean Milk,is-liquid,11,29,11.37931034,37,16
Viper,has-teeth,16,30,16,37,27
Viper,has-teeth,11,29,11.37931034,37,27
Dog,has-many kinds,9,29,9.310344828,37,22
Dog,has-teeth,7,29,7.24137931,37,22
shrub,has-many kinds,6,30,6,37,17
Siberian Husky,has-teeth,6,31,5.806451613,37,19
seaweed,has-many kinds,6,30,6,37,29
Otarriinae,has-teeth,8,30,8,37,16
panther,has-teeth,11,29,11.37931034,37,20
fox,has-teeth,7,30,7,37,17
Rat,has-teeth,8,30,8,37,21
leopard,has-teeth,7,30,7,37,40
whale,has-teeth,7,33,6.363636364,37,18
Dinosaur,has-teeth,13,30,13,37,17
wolf,has-teeth,12,29,12.4137931,37,22
wolf,has-many kinds,6,29,6.206896552,37,22
tiger,has-teeth,16,31,15.48387097,37,23
mouse,has-teeth,10,30,10,37,25
Cheetah,has-teeth,12,30,12,37,25
hound,has-teeth,10,30,10,37,21
tyre,has-many kinds,9,54,5,37,17
Python,has-teeth,12,47,7.659574468,37,30
The sperm whale,has-teeth,7,30,7,37,19
snake,has-teeth,11,31,10.64516129,37,19
lion,has-teeth,14,30,14,37,23
rat,has-many kinds,7,30,7,37,21
Peach,has-many kinds,7,30,7,37,17
lizard,has-many kinds,7,50,4.2,37,30
mole,has-teeth,11,30,11,37,16
Coconut,is-hard,10,30,10,37,18
Bungarus multicinctus,has-teeth,7,29,7.24137931,37,18
Cherry,has-many kinds,7,30,7,37,17
fish,has-many kinds,7,30,7,37,16
nail,can-Protect,18,30,18,37,17
nail,is-hard,14,30,14,37,17
Bus,is-Vehicle,15,29,15.51724138,36,28
Touring car,is-Vehicle,21,30,21,36,18
Bus,is-Vehicle,14,30,14,36,28
carriage,is-Vehicle,20,30,20,36,17
Carriage,is-Vehicle,14,30,14,36,17
Daisy,has-petals,17,29,17.5862069,35,16
Lotus,has-petals,22,30,22,35,37
Honeysuckle,has-petals,8,30,8,35,20
Chrysanthemum,has-petals,18,31,17.41935484,35,19
Sunflower,has-petals,8,29,8.275862069,35,30
Lotus,has-petals,23,30,23,35,37
Sunflower,has-petals,9,31,8.709677419,35,30
tulips,has-petals,15,31,14.51612903,35,17
zebra,can-Run,13,28,13.92857143,33,25
zebra,is-Mammals,7,28,7.5,33,25
leopard,can-Run,17,30,17,33,40
leopard,is-Mammals,8,30,8,33,40
Timber wolf,can-Run,8,30,8,33,24
Soybean Milk,is-beverages,13,29,13.44827586,33,16
Soybean Milk,need-Boil,6,29,6.206896552,33,16
African elephant,is-Mammals,7,31,6.774193548,33,19
Dog,can-Run,6,29,6.206896552,33,22
Otarriinae,is-Mammals,6,30,6,33,16
Lotus,is-Drugs,6,30,6,33,37
panther,can-Run,15,29,15.51724138,33,20
panther,is-Mammals,6,29,6.206896552,33,20
Monkey,is-Mammals,9,29,9.310344828,33,29
monkey,is-Mammals,7,30,7,33,29
Cauliflower,need-Boil,8,30,8,33,17
Raccoons,can-Run,8,30,8,33,20
Raccoons,is-Mammals,8,30,8,33,20
egg,need-Boil,8,31,7.741935484,33,17
leopard,can-Run,14,30,14,33,40
Honeysuckle,is-Drugs,25,30,25,33,20
whale,is-Mammals,17,33,15.45454545,33,18
Chrysanthemum,is-Drugs,7,31,6.774193548,33,19
Dinosaur,can-Run,9,30,9,33,17
The Dachshund,can-Run,11,29,11.37931034,33,19
wolf,can-Run,7,29,7.24137931,33,22
wolf,is-Mammals,7,29,7.24137931,33,22
tiger,can-Run,9,31,8.709677419,33,23
tiger,is-Mammals,8,31,7.741935484,33,23
mouse,is-Mammals,7,30,7,33,25
Lotus,is-Drugs,9,30,9,33,37
Cheetah,can-Run,17,30,17,33,25
Cheetah,is-Mammals,10,30,10,33,25
hound,can-Run,8,30,8,33,21
hound,is-Mammals,8,30,8,33,21
Snail,has-Meat,14,30,14,33,20
Yak,is-Mammals,7,30,7,33,18
Elk,can-Run,18,30,18,33,19
Elk,is-Mammals,6,30,6,33,19
The sperm whale,is-Mammals,15,30,15,33,19
Oysters,has-Meat,13,31,12.58064516,33,24
cattle,is-Mammals,9,31,8.709677419,33,31
Loquat,is-Drugs,7,30,7,33,19
Squab,has-Meat,6,30,6,33,16
Hawthorn,is-Drugs,6,31,5.806451613,33,17
Oysters,has-Meat,16,30,16,33,24
lion,can-Run,12,30,12,33,23
lion,is-Mammals,6,30,6,33,23
Leech,is-Drugs,10,28,10.71428571,33,27
rabbit,can-Run,9,30,9,33,35
Rabbit,can-Run,9,30,9,33,35
ostrich,can-Run,11,30,11,33,16
chimpanzee,is-Mammals,11,30,11,33,18
panda,is-Mammals,6,29,6.206896552,33,23
mole,is-Mammals,9,30,9,33,16
Alpaca,can-Run,11,30,11,33,21
Alpaca,is-Mammals,7,30,7,33,21
pheasant,can-Run,6,29,6.206896552,33,16
hare,can-Run,10,30,10,33,21
gym shoes,can-Run,10,29,10.34482759,33,16
goose,has-Feathers,17,30,17,32,17
Touring car,need-Maintenance,7,30,7,32,18
dove,has-Feathers,15,30,15,32,16
Cock,has-Feathers,11,30,11,32,20
Seagull,has-Feathers,14,30,14,32,16
black swan,has-Feathers,16,30,16,32,17
tyre,need-Maintenance,9,54,5,32,17
Hen,has-Feathers,10,30,10,32,18
leather jacket,need-Maintenance,10,30,10,32,16
Squab,has-Feathers,9,30,9,32,16
Swan,has-Feathers,18,31,17.41935484,32,18
Vulture,has-Feathers,10,28,10.71428571,32,16
ostrich,has-Feathers,10,30,10,32,16
duck,has-Feathers,12,29,12.4137931,32,17
swallow,has-Feathers,16,31,15.48387097,32,17
pheasant,has-Feathers,13,29,13.44827586,32,16
gym shoes,need-Maintenance,7,29,7.24137931,32,16
Robins,has-Feathers,14,29,14.48275862,32,17
Tyrannosaurus Rex,has-Claws,8,28,8.571428571,29,16
Persian cat,has-Claws,8,29,8.275862069,29,18
dove,has-Claws,9,30,9,29,16
Cock,has-Claws,9,30,9,29,20
Seagull,has-Claws,8,30,8,29,16
Koala,has-Claws,6,30,6,29,18
wolf,has-Claws,7,29,7.24137931,29,22
Cheetah,has-Claws,6,30,6,29,25
Hen,has-Claws,7,30,7,29,18
Squab,has-Claws,8,30,8,29,16
lion,has-Claws,8,30,8,29,23
Vulture,has-Claws,11,28,11.78571429,29,16
lizard,has-Claws,9,50,5.4,29,30
mole,has-Claws,8,30,8,29,16
swallow,has-Claws,7,31,6.774193548,29,17
pheasant,has-Claws,6,29,6.206896552,29,16
Robins,has-Claws,6,29,6.206896552,29,17
Persian cat,need-Feed,6,29,6.206896552,28,18
Daisy,is-small,6,29,6.206896552,28,16
Turbot,need-Feed,6,30,6,28,16
goose,need-Feed,7,30,7,28,17
citrus,is-acid,8,29,8.275862069,28,17
dove,need-Feed,7,30,7,28,16
Cock,need-Feed,7,30,7,28,20
shrub,is-small,9,30,9,28,17
Siberian Husky,need-Feed,8,31,7.741935484,28,19
cattle,need-Feed,8,30,8,28,31
Orange,is-acid,9,30,9,28,16
Guppy,need-Feed,6,28,6.428571429,28,17
Blueberry,is-acid,7,30,7,28,16
mouse,is-small,6,30,6,28,25
carp,need-Feed,6,30,6,28,32
kiwifruit,is-acid,7,30,7,28,17
Hen,need-Feed,6,30,6,28,18
lemon,is-acid,26,30,26,28,16
Grape,is-acid,7,31,6.774193548,28,20
Squab,need-Feed,9,30,9,28,16
Hawthorn,is-acid,19,31,18.38709677,28,17
Chow Chow,need-Feed,8,30,8,28,16
rabbit,need-Feed,8,30,8,28,35
Rabbit,need-Feed,11,30,11,28,35
Tomatoes,is-acid,6,31,5.806451613,28,22
duck,need-Feed,6,29,6.206896552,28,17
Cherry,is-acid,6,30,6,28,17
grapefruit,is-acid,8,30,8,28,17
Robins,is-small,7,29,7.24137931,28,17
moth,is-small,6,28,6.428571429,28,19
zebra,has-legs,9,28,9.642857143,27,25
Timber wolf,has-legs,6,30,6,27,24
olive,has-fruit,12,31,11.61290323,27,27
Olive,has-fruit,10,29,10.34482759,27,27
Dog,has-legs,6,29,6.206896552,27,22
